,ID_year,democratic_performance_numeric,clean_elections,inclusive_suffrage,free_political_parties,elected_government,access_to_justice,freedom_of_expression,freedom_of_association_and_assembly,freedom_of_religion,freedom_of_movement,personal_integrity_and_security2,social_group_equality,basic_welfare,gender_equality,effective_parliament,judicial_independence,media_integrity,absence_of_corruption,predictable_enforcement,civil_society_participation,electoral_participation,direct_democracy,local_democracy
ID_year,1.0,-0.20812440037002314,0.26187348539387284,0.23937240397415727,0.3209834994674301,0.27264998751526237,0.16097502294276894,0.24455725840393092,0.24481926509641588,0.08660761035388358,0.19816425284243414,0.19656971084671743,0.1427304148403177,0.39040692277917677,0.34191856923461283,0.26823297031928806,0.09301431571981485,0.2995774208706573,-0.03982537574604347,0.1079784849204809,0.26713725320238846,0.2219592727378355,0.20247690542672245,0.2034328941598736
democratic_performance_numeric,-0.20812440037002314,1.0,-0.8848841517193909,-0.5435862315277351,-0.8690526544659665,-0.8434965535351815,-0.7782291550036768,-0.8663376673756165,-0.8599586292640095,-0.7138400234557915,-0.7770391272567364,-0.8044580445915116,-0.7343938026103807,-0.61656147068608,-0.7092339147086946,-0.8290835246935894,-0.7983281758533053,-0.8380099435472788,-0.6780926644629482,-0.8073349691754768,-0.7541953193640487,-0.5889043183445595,-0.36033812852999864,-0.8606448256316236
clean_elections,0.26187348539387284,-0.8848841517193909,1.0,0.764781744937535,0.8689804338007098,0.8570440449450348,0.7786796499569102,0.850751233930106,0.8416573223230759,0.7012377627904915,0.7772404451407386,0.7867983478967866,0.7131627611050663,0.6036137979419586,0.7063675555069825,0.9243848703740682,0.7516705045696019,0.8331604495100622,0.6309579476199777,0.7853494936945483,0.7585737397584111,0.7006958288850124,0.35552958872153273,0.8062949705327909
inclusive_suffrage,0.23937240397415727,-0.5435862315277351,0.764781744937535,1.0,0.5929336633395439,0.7074332514067073,0.4545355901765574,0.5064513426638517,0.5113463170230761,0.4187791212077155,0.4753132499077596,0.4614819289620388,0.4390893535414229,0.38040813088180825,0.5178194702707943,0.7717894873302785,0.3948029039906793,0.5067299876972524,0.28823605620633574,0.4459561137541661,0.47231882655233515,0.7797959633992501,0.285194596953719,0.5008142259192445
free_political_parties,0.3209834994674301,-0.8690526544659665,0.8689804338007098,0.5929336633395439,1.0,0.8497723939856768,0.7425267798085392,0.8948209467972613,0.9062781019170572,0.7679624297016474,0.8101251783191569,0.7401034646715955,0.6512471742441879,0.5248618336474918,0.6830164306361752,0.8244728471981978,0.7446117594167087,0.9150063102130657,0.5135966755429976,0.7099652975413746,0.8184953603913306,0.6194675744019082,0.36580378017464565,0.7904283635769381
elected_government,0.27264998751526237,-0.8434965535351815,0.8570440449450348,0.7074332514067073,0.8497723939856768,1.0,0.6403108321809757,0.7757502538163106,0.7824764409875061,0.6518187502358442,0.7187235464830202,0.6685519346187129,0.6000522759163822,0.5300345785570801,0.650168421000725,0.8172461404937236,0.6529197175626692,0.7730557341028204,0.46634357483795164,0.6381510838610184,0.6784861008976277,0.6919083108651518,0.3850340333320917,0.7495356917132817
access_to_justice,0.16097502294276894,-0.7782291550036768,0.7786796499569102,0.4545355901765574,0.7425267798085392,0.6403108321809757,1.0,0.8507180267253991,0.7904170009774708,0.6780108540074358,0.802031675654685,0.8901698857838835,0.836037940863431,0.6626567649767078,0.7246211869868443,0.7757007995157605,0.8205526317536427,0.7633498166920791,0.7755446716690299,0.9076481340633477,0.7694738914345927,0.47533162841257676,0.33433814022676067,0.7147527819482377
freedom_of_expression,0.24455725840393092,-0.8663376673756165,0.850751233930106,0.5064513426638517,0.8948209467972613,0.7757502538163106,0.8507180267253991,1.0,0.9350013798346671,0.8027784613945406,0.8704684473758912,0.8636006400333716,0.7475069053970671,0.5559372476475162,0.7151517171145826,0.8223157205231126,0.8141305576065347,0.9213210246662211,0.635396002552953,0.8248537563143967,0.8608916530147936,0.5424394274537956,0.36338987227322844,0.80120528263285
freedom_of_association_and_assembly,0.24481926509641588,-0.8599586292640095,0.8416573223230759,0.5113463170230761,0.9062781019170572,0.7824764409875061,0.7904170009774708,0.9350013798346671,1.0,0.826821074896196,0.8676406845803755,0.8141484127160794,0.6871393245591206,0.5116830619452404,0.6730270752727684,0.7959057678245849,0.7955890904969762,0.9062609109120503,0.5834876455505228,0.7637636829334079,0.8432996665899302,0.5475493208851845,0.3301693054706953,0.7872784689635833
freedom_of_religion,0.08660761035388358,-0.7138400234557915,0.7012377627904915,0.4187791212077155,0.7679624297016474,0.6518187502358442,0.6780108540074358,0.8027784613945406,0.826821074896196,1.0,0.8148025239592273,0.688496693302752,0.5558671188423416,0.312537122599819,0.5520586130074351,0.6544484496810967,0.7089206359724112,0.7733451176690882,0.49793232691738387,0.6508207500194567,0.7514336192160496,0.4787487063633595,0.23935221564153383,0.6778848302819467
