,ID_year,democratic_performance_numeric,clean_elections,inclusive_suffrage,free_political_parties,elected_government,access_to_justice,freedom_of_expression,freedom_of_association_and_assembly,freedom_of_religion,freedom_of_movement,personal_integrity_and_security2,social_group_equality,basic_welfare,gender_equality,effective_parliament,judicial_independence,media_integrity,absence_of_corruption,predictable_enforcement,civil_society_participation,electoral_participation,direct_democracy,local_democracy
ID_year,1.0,0.01015554809757354,0.015098666588175914,0.09334989540466923,-0.0011725615814767343,0.0071730603771078365,-0.0016154956159068698,-0.03391884527594081,-0.05709726990180377,-0.06110246327989243,-0.004681403594198151,0.06647603263939104,0.04809754011510975,0.2850741840851797,0.22292858767861537,0.06433649381286748,-0.06451440332061295,0.044662190931116424,-0.027624160493120845,-0.01662720972075254,0.06894095981500542,-0.09889608492991504,0.06995603472265562,0.06263304439575423
democratic_performance_numeric,0.01015554809757354,1.0,-0.8687357970689424,-0.6248051839035722,-0.813410510578499,-0.7989854197085244,-0.5385475310861855,-0.7958966610175277,-0.795199690611244,-0.6258868596579966,-0.6654184793237625,-0.6427175173252014,-0.5475058916873755,-0.37765566510582693,-0.5897877916518589,-0.7186491021279003,-0.7132113406560114,-0.7710274285033457,-0.6579798278609438,-0.7407480280678395,-0.5583167828494432,-0.37159140528324774,-0.25693968621533597,-0.7999112087870459
clean_elections,0.015098666588175914,-0.8687357970689424,1.0,0.6765421262623107,0.7947305211091469,0.6933982091473145,0.6562906441733292,0.8205229619553777,0.7956243696009454,0.5932516507416274,0.6975357266029615,0.717299215207495,0.630087208515813,0.47066282242778545,0.5832411785081623,0.792368711792744,0.7738515781329355,0.7968297152400363,0.7630466662946366,0.8174161313802476,0.5741214055915369,0.3024598160249034,0.2403317786139631,0.7871784368697733
inclusive_suffrage,0.09334989540466923,-0.6248051839035722,0.6765421262623107,1.0,0.5584985782833376,0.53434822108939,0.4258009684202043,0.5359766003895157,0.5332847188191215,0.45255511260122083,0.47093784603958017,0.5046526523402237,0.45828133942427823,0.35515832725887125,0.4654221690744936,0.5619363376944682,0.512713885787207,0.4905319128725651,0.5269509822789802,0.555559705247376,0.38034057233714774,0.38314853899769336,0.1719526187855684,0.5955676667925155
free_political_parties,-0.0011725615814767343,-0.813410510578499,0.7947305211091469,0.5584985782833376,1.0,0.735629203693533,0.5898142256564914,0.856895626425629,0.8594562287693083,0.7272038739006687,0.7733954576253643,0.6492401036246596,0.5446765788780057,0.29310881055813565,0.5928992797350744,0.6986542588252527,0.6878225041807463,0.803563268131485,0.5910116969703595,0.6858658261283558,0.6495188170867773,0.32088674541500894,0.2509330519750505,0.7776312883712072
elected_government,0.0071730603771078365,-0.7989854197085244,0.6933982091473145,0.53434822108939,0.735629203693533,1.0,0.35280141375883184,0.6842208108978008,0.6805362602120859,0.5559735359325876,0.626722547821281,0.5287346137806272,0.39955280308500557,0.32239669439651353,0.5137449645148408,0.5135835446473365,0.5220671270669621,0.6219666853596304,0.412387792881897,0.5077253452773071,0.4360467547849236,0.34865922314735637,0.2647595503852564,0.6697104288828096
access_to_justice,-0.0016154956159068698,-0.5385475310861855,0.6562906441733292,0.4258009684202043,0.5898142256564914,0.35280141375883184,1.0,0.6960720918159012,0.6204415268680399,0.423728957974083,0.5992187736157768,0.743752634662961,0.7693718767836242,0.5015353596665473,0.618412880712055,0.7109455810911239,0.73416222174434,0.6057180410443849,0.7451030690319698,0.8165998976569747,0.5529451908882086,0.15078342406541914,0.24899856359878625,0.5261100805160116
freedom_of_expression,-0.03391884527594081,-0.7958966610175277,0.8205229619553777,0.5359766003895157,0.856895626425629,0.6842208108978008,0.6960720918159012,1.0,0.8909208505595794,0.7146735860525815,0.8042326944861362,0.7795729115445238,0.6451556546683018,0.34872465683712833,0.614199086357186,0.7533279384692545,0.7369579434987783,0.8482832157162593,0.6583653805451833,0.7886863473959671,0.6531648194148427,0.26169513570265346,0.28912098781101025,0.7479656147250646
freedom_of_association_and_assembly,-0.05709726990180377,-0.795199690611244,0.7956243696009454,0.5332847188191215,0.8594562287693083,0.6805362602120859,0.6204415268680399,0.8909208505595794,1.0,0.7619350183998117,0.7943471533916472,0.7087591618291627,0.5671906675223292,0.2979346349524392,0.5938604171669684,0.702425505339311,0.7230628525587487,0.8056178322931755,0.612238786100963,0.7238266604287251,0.6415301127350734,0.26425652018132223,0.21799692906102078,0.7480813460054823
freedom_of_religion,-0.06110246327989243,-0.6258868596579966,0.5932516507416274,0.45255511260122083,0.7272038739006687,0.5559735359325876,0.423728957974083,0.7146735860525815,0.7619350183998117,1.0,0.6918046035788432,0.5343157725090601,0.3863099589517938,0.12532076092291922,0.47763711841667056,0.5094040814829516,0.5630282811605031,0.645206203348041,0.4365792151651791,0.5550238388585073,0.5416064985885514,0.25509800451824033,0.16336624631088506,0.6614495930698059
